PROJECT,DETAILS
Churn Prediction,Churn Prediction is essentially predicting which clients are most likely to cancel a subscription i.e ‘leave a company’ based on their usage of the service.
Machine Translation,Machine translation is the process of automatically translating content from one language (the source) to another (the target) without any human input.
Text Generation,"Text generation is a subfield of natural language processing. It leverages knowledge in computational linguistics and artificial intelligence to automatically generate natural language texts, which can satisfy certain communicative requirements."
Sentiment Analysis,Sentiment analysis is the process of detecting positive or negative sentiment in text.
Image super resolution,"Image Super Resolution refers to the task of enhancing the resolution of an image from low-resolution (LR) to high (HR). It is popularly used in the following applications: Surveillance: to detect, identify, and perform facial recognition on low-resolution images obtained from security cameras."
Action recognition,Just like the title suggests.It help detect an object action
Sales forcasting,Forcasting sales
Comment toxicity detection," Detect toxicity in a comment by flagging the text that are considered vulgar, rasict, harrasment, hate speech etc."
Exercise correction, This helps to position body well when performing exercise
Neural style transfer," Neural style transfer is an optimization technique used to take two images�a content image and a style reference image (such as an artwork by a famous painter)�and blend them together so the output image looks like the content image, but �painted� in the style of the style reference image."
Automate number plate recognition, Automatic Number Plate Recognition (ANPR) system is an automated mass surveillance method that uses several Digital Image Processing (DIP) technique and Optical Character Recognition (OCR) on images to read and identify vehicle registration plates.
Game playing ML, Machine learning in video games
